Year,Month,Date,Close,Volume,V2,PPIACO,Result
2020,10,2020-10-01,35.790001,7685767,18729.1,196.5,0
2020,12,2020-12-01,48.52,6658228,19114.4,200.5,1
2021,1,2021-01-01,52.200001,7574920,19357,204.8,1
2021,2,2021-02-01,61.5,8065615,19600.4,210.6,1
2021,3,2021-03-01,59.16,10167951,19841,215,1
2021,4,2021-04-01,63.580002,8438272,20116.9,217.9,1
2021,5,2021-05-01,66.32,8001095,20431,224.9,1
2021,6,2021-06-01,73.470001,8261945,20506.6,228.9,1
2021,7,2021-07-01,73.949997,8643164,20663,231.85,1
2021,9,2021-09-01,75.029999,8102078,20964.3,235.678,1
2021,10,2021-10-01,83.57,9725158,21116.3,240.465,1
2021,11,2021-11-01,66.18,10364108,21316.3,243.287,1
2021,12,2021-12-01,75.209999,7853281,21549.4,241.338,1
2022,1,2022-01-01,88.150002,8385229,21562.1,246.453,1
2022,2,2022-02-01,95.720001,9108602,21570.4,252.66,1
2022,3,2022-03-01,100.279999,9128833,21697.5,260.014,1
2022,4,2022-04-01,104.690002,5669971,21677.2,265.31,1
2022,6,2022-06-01,105.760002,6646137,21666.4,280.251,1
2022,7,2022-07-01,98.620003,6442224,21703.6,272.274,0
2022,8,2022-08-01,89.550003,6941741,21660,269.546,0
2022,9,2022-09-01,79.489998,6058680,21525.3,267.898,1
2022,10,2022-10-01,86.529999,5645391,21433.3,265.061,1
2022,11,2022-11-01,80.550003,6418409,21399.3,263.157,0
2022,12,2022-12-01,80.260002,5673808,21358.3,257.897,0
2023,2,2023-02-01,77.050003,6069523,21100.7,258.669,1
2023,3,2023-03-01,75.669998,7758732,20876.2,257.062,1
2023,4,2023-04-01,76.779999,5497349,20705.6,256.908,1
2023,5,2023-05-01,68.089996,6920662,20820.3,253.67,1
2023,6,2023-06-01,70.639999,6857383,20854.3,253.86,1
2023,7,2023-07-01,81.800003,6301345,20863.7,253.805,1
2023,8,2023-08-01,83.629997,7346160,20825.3,257.675,1
2023,9,2023-09-01,90.790001,6703761,20755.1,258.889,1
